2025-03-06 11:36:57,423 - INFO - Starting the Game with a Board 5 x 5. Sequence: 5
2025-03-06 11:36:57,577 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,578 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,579 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,579 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,579 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,580 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,581 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,582 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,582 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,583 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,584 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,585 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,586 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,587 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,587 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,588 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,589 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,589 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,590 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,591 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,591 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,592 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,592 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,593 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,594 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,595 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,596 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,596 - INFO - There is a valid move in (1, 1)
2025-03-06 11:36:57,597 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,599 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,600 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,600 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,602 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,603 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,604 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,604 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,605 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,606 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,606 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,607 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,608 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,609 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,611 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,612 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,613 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,613 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,615 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,616 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,617 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,618 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,618 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,619 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,620 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,620 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,621 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,622 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,623 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,623 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,624 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,624 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,625 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,626 - INFO - There is a valid move in (3, 2)
2025-03-06 11:36:57,626 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,627 - INFO - There is a valid move in (3, 2)
2025-03-06 11:36:57,627 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,628 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,628 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,629 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,629 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,631 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,632 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,633 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,634 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,635 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,636 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,637 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,637 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,638 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,639 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,639 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,640 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,640 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,641 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,642 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,642 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,643 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,643 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,644 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,644 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,646 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,647 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,647 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,648 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,649 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,650 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,650 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,651 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,652 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,653 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,654 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,654 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,655 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,657 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,659 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,660 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,661 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,662 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,664 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,666 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,667 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,668 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,668 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,669 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,670 - INFO - There is a valid move in (3, 2)
2025-03-06 11:36:57,670 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,671 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,671 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,672 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,673 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,673 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,674 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,675 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,675 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,677 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,678 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,678 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,679 - INFO - There is a valid move in (3, 2)
2025-03-06 11:36:57,679 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,680 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,681 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,681 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,682 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,683 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,683 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,684 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,685 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,685 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,686 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,687 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,688 - INFO - There is a valid move in (3, 2)
2025-03-06 11:36:57,689 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,689 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,691 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,692 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,693 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,693 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,694 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,695 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,695 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,696 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,697 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,697 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,698 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,699 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,700 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,700 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,701 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,702 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,703 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,705 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,705 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,705 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,707 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,708 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,709 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,709 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,710 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,712 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,713 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,715 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,717 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,718 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,719 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,721 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,722 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,723 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,723 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,725 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,726 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,726 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,727 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,728 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,729 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,730 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,730 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,731 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,732 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,733 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,734 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,735 - INFO - There is a valid move in (1, 1)
2025-03-06 11:36:57,736 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,737 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,737 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,738 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,739 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,739 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,740 - INFO - There is a valid move in (3, 0)
2025-03-06 11:36:57,741 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,742 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,742 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,743 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,745 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,746 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,747 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,748 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,749 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,750 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,751 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,753 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,754 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,755 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,756 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,757 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,757 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,758 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,758 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,759 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,761 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,762 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,762 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,763 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,764 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,765 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,766 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,766 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,767 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,768 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,769 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,770 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,771 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,772 - INFO - There is a valid move in (3, 2)
2025-03-06 11:36:57,772 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,773 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,774 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,774 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,775 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,776 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,777 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,777 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,778 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,778 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,779 - INFO - There is a valid move in (1, 3)
2025-03-06 11:36:57,780 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,781 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,781 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,782 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,783 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,784 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,785 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,786 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,787 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,788 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,788 - INFO - There is a valid move in (3, 2)
2025-03-06 11:36:57,789 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,789 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,790 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,791 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,791 - INFO - There is a valid move in (2, 1)
2025-03-06 11:36:57,792 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,793 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,794 - INFO - There is a valid move in (3, 2)
2025-03-06 11:36:57,794 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,795 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,797 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,798 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,800 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,801 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,802 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,803 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,804 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,805 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,805 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,806 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,807 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,807 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,808 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,809 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,809 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,810 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,811 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,811 - INFO - There is a valid move in (1, 0)
2025-03-06 11:36:57,812 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,813 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,814 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,814 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,816 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,816 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,817 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,818 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,819 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,820 - INFO - There is a valid move in (2, 3)
2025-03-06 11:36:57,820 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,821 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,821 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,822 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,823 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,823 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,824 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,825 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,825 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,826 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,826 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,827 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,827 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,828 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,829 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,830 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,831 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,832 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,832 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,833 - INFO - There is a valid move in (2, 0)
2025-03-06 11:36:57,833 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,834 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,835 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,836 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,837 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,838 - INFO - There is a valid move in (1, 1)
2025-03-06 11:36:57,839 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,840 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,840 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,841 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,842 - INFO - There is a valid move in (0, 1)
2025-03-06 11:36:57,843 - INFO - There is a valid move in (0, 2)
2025-03-06 11:36:57,843 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,844 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,845 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,847 - INFO - There is a valid move in (1, 2)
2025-03-06 11:36:57,848 - INFO - There is a valid move in (2, 2)
2025-03-06 11:36:57,849 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,851 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,852 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,853 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,853 - INFO - There is a valid move in (0, 0)
2025-03-06 11:36:57,854 - INFO - There is a valid move in (0, 3)
2025-03-06 11:36:57,855 - INFO - There is a valid move in (0, 0)
